t_s,alt_m,V_ms,climb_ms,nose_elev,cos_phi_theta,wx,wy,wz,blend,held_bank,freelook
0.000,703.6,283.67,-9.86,-0.0306,0.9995,-0.0187,0.0002,0.0018,0.0000,0.0041,0
0.100,702.6,283.77,-9.88,-0.0306,0.9995,-0.0187,0.0002,0.0008,0.0000,0.0041,0
0.200,701.6,283.87,-9.90,-0.0307,0.9995,-0.0187,0.0002,0.0000,0.0000,0.0043,0
0.300,700.6,283.97,-9.92,-0.0307,0.9995,-0.0170,-0.0029,-0.0004,0.0000,0.0043,0
0.400,699.6,284.06,-9.93,-0.0306,0.9995,-0.0170,-0.0017,0.0021,0.0000,0.0037,0
0.500,698.6,284.16,-9.93,-0.0306,0.9995,-0.0186,0.0001,0.0049,0.0000,0.0028,0
0.600,697.6,284.25,-9.93,-0.0306,0.9995,-0.0187,0.0002,0.0050,0.0000,0.0024,0
0.700,696.6,284.35,-9.94,-0.0307,0.9995,-0.0187,0.0002,0.0038,0.0000,0.0022,0
0.800,695.6,284.44,-9.95,-0.0308,0.9995,-0.0187,0.0002,0.0024,0.0000,0.0021,0
0.900,694.6,284.54,-9.96,-0.0308,0.9995,-0.0187,0.0002,0.0011,0.0000,0.0022,0
1.000,693.6,284.63,-9.98,-0.0309,0.9995,-0.0187,0.0002,0.0002,0.0000,0.0023,0
1.100,692.6,284.73,-9.99,-0.0308,0.9995,-0.0164,-0.0015,-0.0003,0.0000,0.0024,0
1.200,691.6,284.82,-9.99,-0.0307,0.9995,-0.0167,-0.0008,0.0012,0.0000,0.0020,0
1.300,690.6,284.91,-9.97,-0.0306,0.9995,-0.0185,0.0001,0.0027,0.0000,0.0015,0
1.400,689.6,285.01,-9.96,-0.0307,0.9995,-0.0187,0.0002,0.0027,0.0000,0.0013,0
1.500,688.6,285.10,-9.96,-0.0307,0.9995,-0.0187,0.0002,0.0019,0.0000,0.0012,0
1.600,687.6,285.19,-9.97,-0.0309,0.9995,-0.0265,0.0933,0.0202,0.0000,-0.0052,0
1.700,686.6,285.28,-10.06,-0.0326,0.9994,-0.0255,0.2409,0.2518,0.0000,-0.0664,0
1.800,685.6,285.36,-10.09,-0.0303,0.9984,0.0187,0.2227,0.4034,0.0000,-0.1264,0
1.900,684.6,285.43,-9.71,-0.0262,0.9954,0.0853,0.4947,0.5600,0.0000,-0.2075,0
2.000,683.7,285.44,-8.33,-0.0100,0.9863,0.3385,0.6588,0.8074,0.0810,-0.3018,0
2.100,683.0,285.33,-4.96,0.0085,0.9732,0.2020,0.3530,0.6725,0.0000,-0.3639,0
2.200,682.7,285.18,-0.96,0.0202,0.9561,0.2079,0.3248,0.5731,0.0000,-0.4050,0
2.300,682.9,284.99,3.41,0.0367,0.9381,0.3708,0.4755,0.4539,0.0583,-0.4244,0
2.400,683.5,284.69,8.69,0.0559,0.9216,0.3587,0.4930,0.3545,0.1814,-0.4244,0
2.500,684.7,284.31,14.45,0.0752,0.9052,0.4228,0.4749,0.4120,0.3327,-0.4244,0
2.600,686.5,283.83,20.78,0.0932,0.8515,0.5004,0.5906,1.6918,0.8280,-0.4244,0
2.700,688.9,283.26,27.60,0.1059,0.7351,0.6873,0.5895,1.9816,1.0000,-0.4244,0
2.800,692.0,282.63,34.18,0.1231,0.6587,0.4659,0.1919,-1.1277,0.2615,-0.4244,0
2.900,695.8,282.05,39.84,0.1377,0.7278,0.2571,0.1354,-0.2096,0.0000,-0.7002,0
3.000,700.0,281.57,44.06,0.1459,0.7480,0.1410,0.0917,-0.5029,0.0000,-0.6008,0
3.100,704.5,281.19,46.79,0.1507,0.7870,0.0795,0.0711,-0.7655,0.0000,-0.4905,0
3.200,709.3,280.88,48.23,0.1534,0.8330,0.0404,0.0582,-0.8742,0.0000,-0.3919,0
3.300,714.2,280.62,48.67,0.1547,0.8756,0.0154,0.0495,-0.8605,0.0000,-0.3115,0
3.400,719.0,280.41,48.39,0.1537,0.9100,-0.0398,0.0401,-0.7909,0.0000,-0.2446,0
3.500,723.8,280.22,47.46,0.1492,0.9371,-0.0824,0.0162,-0.7424,0.0000,-0.1788,0
3.600,728.5,280.07,45.91,0.1437,0.9584,-0.0734,-0.0114,-0.7198,0.0000,-0.1119,0
3.700,732.9,279.96,43.75,0.1292,0.9767,-0.3320,-0.4543,-0.8967,0.0000,0.0112,0
3.800,737.1,279.88,39.87,0.1017,0.9929,-0.3135,-0.2841,-1.1309,0.0000,0.1533,0
3.900,740.8,279.81,34.84,0.0802,0.9961,-0.1892,-0.1281,-0.8024,0.0000,0.1811,0
4.000,744.1,279.75,29.95,0.0663,0.9934,-0.1414,-0.0944,-0.3689,0.0000,0.1570,0
4.100,746.8,279.70,25.17,0.0458,0.9917,-0.1466,-0.0867,-0.1717,0.0000,0.1491,0
4.200,749.1,279.67,20.61,0.0359,0.9913,-0.0920,-0.0419,0.0110,0.0000,0.1223,0
4.300,750.9,279.66,16.77,0.0295,0.9924,-0.0678,-0.0319,0.1181,0.0000,0.0961,0
4.400,752.4,279.67,13.63,0.0251,0.9941,-0.0523,-0.0255,0.1667,0.0000,0.0731,0
4.500,753.6,279.69,11.11,0.0220,0.9959,-0.0418,-0.0181,0.1814,0.0000,0.0533,0
4.600,754.6,279.72,9.13,0.0199,0.9974,-0.0346,-0.0115,0.1745,0.0000,0.0372,0
4.700,755.4,279.77,7.59,0.0185,0.9984,-0.0296,-0.0067,0.1541,0.0000,0.0250,0
4.800,756.1,279.81,6.41,0.0175,0.9991,-0.0261,-0.0037,0.1272,0.0000,0.0162,0
4.900,756.7,279.87,5.51,0.0167,0.9995,-0.0315,0.0538,0.1052,0.0000,0.0077,0
5.000,757.2,279.93,4.77,0.0134,0.9997,-0.0804,0.7459,1.3473,0.9997,-0.1011,0
5.100,757.7,279.93,4.23,0.0094,0.9785,0.1031,0.7972,1.9827,1.0000,-0.1011,0
5.200,758.1,279.78,4.88,0.0056,0.9180,0.3116,0.7999,1.9995,1.0000,-0.1011,0
5.300,758.7,279.46,7.11,0.0090,0.8444,0.3944,0.5663,0.2704,0.5078,-0.1011,0
5.400,759.6,279.03,9.93,0.0158,0.8710,0.3244,0.4754,-1.1125,0.2371,-0.1011,0
5.500,760.7,278.51,12.11,0.0270,0.9317,0.3171,0.4865,-1.0725,0.1463,-0.1011,0
5.600,762.0,277.95,13.76,0.0351,0.9539,0.1624,0.3998,0.0824,0.0052,-0.3376,0
5.700,763.4,277.38,15.16,0.0356,0.9474,0.1283,0.3580,0.1755,0.0000,-0.3620,0
5.800,765.0,276.79,16.38,0.0325,0.9293,0.1335,0.5666,0.6106,0.1495,-0.3897,0
5.900,766.7,276.18,17.27,0.0286,0.9229,0.0613,0.2437,0.1688,0.0000,-0.4316,0
6.000,768.5,275.66,17.53,0.0282,0.9145,0.0578,0.1432,0.1731,0.0000,-0.4458,0
6.100,770.2,275.26,17.45,0.0296,0.9114,0.0310,0.0890,-0.0319,0.0000,-0.4121,0
6.200,771.9,274.97,17.00,0.0294,0.9168,0.0499,0.2519,-0.1927,0.0000,-0.3747,0
6.300,773.6,274.70,16.16,0.0224,0.9173,0.0938,0.2021,0.2469,0.0000,-0.4297,0
6.400,775.2,274.48,15.66,0.0288,0.8459,-0.0141,-0.1217,1.9394,1.0000,-0.4297,0
6.500,776.7,274.38,15.71,0.0354,0.7241,-0.0137,-0.0793,1.9981,1.0000,-0.4297,0
6.600,778.3,274.31,16.31,0.0384,0.5703,0.9498,0.7336,1.9937,1.0000,-0.7764,0
6.700,780.0,274.07,17.76,0.0251,0.4291,1.0880,0.6896,1.2352,1.0000,-0.7764,0
6.800,781.9,273.66,19.07,0.0365,0.3489,1.1042,0.2438,0.6768,1.0000,-0.7764,0
6.900,783.9,273.18,20.85,0.0548,0.3024,0.3044,-0.0004,-0.6433,0.2644,-0.7764,0
7.000,786.0,272.84,22.62,0.0575,0.3805,-0.0120,0.1197,-0.9730,0.0000,-0.9588,0
7.100,788.4,272.63,23.24,0.0414,0.5217,-0.2848,0.1486,-1.9224,0.0000,-0.6005,0
7.200,790.6,272.50,21.82,0.0249,0.6758,-0.0810,-0.0009,-1.3670,0.0000,-0.3399,0
7.300,792.7,272.43,19.52,0.0292,0.7908,-0.0197,-0.0750,-1.9585,0.0000,-0.3399,0
7.400,794.5,272.41,17.21,0.0326,0.8960,-0.0207,-0.0565,-1.9986,0.0000,-0.3399,0
7.500,796.1,272.43,15.02,0.0341,0.9661,-0.0220,-0.0416,-2.0000,0.4533,-0.3399,0
7.600,797.5,272.47,13.06,0.0342,0.9977,-0.0226,-0.0311,-2.0000,1.0000,-0.3399,0
7.700,798.7,272.52,11.61,0.0412,0.9891,0.1508,-0.6467,-2.0000,1.0000,0.0245,0
7.800,799.8,272.56,11.39,0.0368,0.9403,0.1820,-0.7904,-2.0000,1.0000,0.0245,0
7.900,801.0,272.50,12.33,0.0399,0.8525,0.5732,-0.7994,-2.0000,1.0000,0.0245,0
8.000,802.4,272.26,15.50,0.0525,0.7279,0.8630,-0.8000,-2.0000,1.0000,0.0245,0
8.100,804.2,271.81,19.83,0.0509,0.5721,1.0003,-0.8000,-2.0000,1.0000,0.0245,0
8.200,806.4,271.17,23.01,0.0364,0.3929,1.0934,-0.6444,-1.9531,1.0000,0.0245,0
8.300,808.7,270.45,23.98,0.0373,0.2619,0.8142,-0.1305,-0.8801,1.0000,0.0245,0
8.400,811.1,269.87,24.12,0.0520,0.1980,0.7733,-0.0137,-0.4691,1.0000,0.0245,0
8.500,813.5,269.41,24.38,0.0681,0.1657,0.8764,0.0100,-0.2332,1.0000,0.0245,0
8.600,816.0,269.01,25.26,0.0844,0.2251,0.6336,0.0054,1.6644,0.5223,0.0245,0
8.700,818.7,268.65,27.76,0.1009,0.3553,0.9697,-0.1984,-0.1420,0.9599,0.0245,0
8.800,821.6,268.25,31.53,0.1232,0.4555,0.6405,-0.0780,1.8793,0.1778,0.0245,0
8.900,825.0,267.85,36.31,0.1425,0.6121,0.5237,-0.1439,1.9955,0.0419,0.0245,0
9.000,828.9,267.47,41.13,0.1572,0.6631,0.2270,-0.0910,0.4103,0.0000,0.7318,0
9.100,833.3,267.16,44.87,0.1641,0.7059,0.1454,-0.0936,0.8094,0.0000,0.5981,0
9.200,837.9,266.91,47.45,0.1684,0.7629,0.1058,-0.0983,0.9427,0.0000,0.4923,0
9.300,842.7,266.68,49.04,0.1717,0.8166,0.0989,-0.0909,0.9261,0.0000,0.4080,0
